n,support_fake,support_real,accuracy,macro_f1,weighted_f1,fake_precision,fake_recall,fake_f1,real_precision,real_recall,real_f1,mcc,TP,TN,FP,FN,source_name,n_total,n_used_metrics,n_excluded_undefined,split,accuracy_ci_low,accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,fake_f1_ci_low,fake_f1_ci_high,mcc_ci_low,mcc_ci_high
6281,2197,4084,0.937589555803216,0.9312376349887785,0.9375163539918396,0.9149425287356322,0.9057806099226218,0.9103385178408051,0.9495859717486606,0.9547012732615083,0.9521367521367521,0.8625028186406559,1990,3899,185,207,classic_models::albertina_ptbr_900m__svc_rbf,6281,6281,0,test,0.9315395637637319,0.9433211272090432,0.9245895117494817,0.9375942221100761,0.9013945376503516,0.9187843699900422,0.8492218992227332,0.875304985994681
6281,2197,4084,0.9367935042190734,0.9305006644441696,0.9367835155845101,0.9102096627164995,0.9089667728720983,0.909587793213391,0.9510643503792513,0.9517629774730656,0.951413535674948,0.861001838715042,1997,3887,197,200,classic_models::bertimbau_large__svc_rbf,6281,6281,0,test,0.9309027224964178,0.942684285941729,0.9241265691892295,0.9368912565217205,0.9010373169594575,0.9182198435710532,0.8483066874213188,0.8738051288248626
6281,2197,4084,0.9352014010507881,0.9284761950993363,0.9350652208679706,0.9147358665430955,0.8984979517523897,0.9065442020665901,0.9459131700218287,0.9549461312438785,0.9504081881320824,0.8570389884904732,1974,3900,184,223,classic_models::bertimbau_base__svc_rbf,6281,6281,0,test,0.9289921986944754,0.9409329724566152,0.921460823896666,0.9347975745317392,0.8968241167434716,0.9151701406920978,0.8429876924895002,0.8697426956692128
6281,2197,4084,0.9251711510905907,0.9173603529457872,0.9249931732975448,0.9010682768230376,0.8830223031406463,0.8919540229885058,0.9377422480620154,0.9478452497551421,0.9427666829030686,0.8348295922848423,1940,3871,213,257,classic_models::albertina_ptbr_100m__svc_rbf,6281,6281,0,test,0.9183251074669638,0.9316987740805605,0.9100496097090037,0.9245398063904064,0.8821577518076257,0.9015960197262238,0.8202415844692155,0.8491960704899212
6281,2197,4084,0.8941251393090273,0.882728980610125,0.8937118975993122,0.8603010348071496,0.832498862084661,0.8461716400647699,0.9114320096269555,0.9272771792360431,0.91928632115548,0.7657312044422111,1829,3787,297,368,classic_models::albertina_ptbr_900m__linearsvc,6281,6281,0,test,0.8868014647349148,0.9017672345167966,0.874699483927701,0.8910576917972609,0.8348376983404352,0.8574008360032661,0.7494995588117858,0.7823625825617673
6281,2197,4084,0.8923738258239133,0.8803782183551186,0.8917586664665392,0.8630071599045346,0.8229403732362313,0.842497670083877,0.9070711896798853,0.9297257590597453,0.9182587666263603,0.7613224631827005,1808,3797,287,389,classic_models::albertina_ptbr_900m__logreg,6281,6281,0,test,0.884731730616144,0.9000159210316828,0.8717176203660543,0.8890472947165935,0.8306291179669724,0.8541286969193194,0.7444114631673877,0.7784733404950822
6281,2197,4084,0.8861646234676007,0.8712463966012305,0.8844132320066751,0.880781089414183,0.7801547564861174,0.8274197441467536,0.8885813148788927,0.9431929480901078,0.9150730490557073,0.7460003546464586,1714,3852,232,483,classic_models::albertina_ptbr_900m__knn,6281,6281,0,test,0.8782041076261742,0.8936475083585417,0.8624479656993077,0.8796003301712654,0.8153874091946053,0.8392140168313017,0.7284784408770146,0.7624161287965513
6281,2197,4084,0.8791593695271454,0.8662697107737694,0.8787429343981901,0.8369259606373008,0.812926718252162,0.824751789425075,0.9008922112370388,0.9147894221351616,0.9077876321224638,0.732749747419967,1786,3736,348,411,classic_models::bertimbau_large__linearsvc,6281,6281,0,test,0.8707212227352332,0.8868054449928355,0.8571336453765854,0.8748835520150111,0.8120089596917508,0.836290661262769,0.71445503972411,0.7500254605266486
6281,2197,4084,0.8761343735074033,0.8627564214906487,0.8756295451294126,0.8341968911917098,0.8060992262175695,0.8199074074074074,0.8975468975468975,0.9138099902056807,0.9056054355738898,0.7258023819011558,1771,3732,352,426,classic_models::bertimbau_large__logreg,6281,6281,0,test,0.8673738258239134,0.8840948893488298,0.8530063097419784,0.8713461062997718,0.8067630584332599,0.8317735676786122,0.7064989150081241,0.7431229888638334
6281,2197,4084,0.8766120044578889,0.859712482024831,0.8743406466262897,0.8734243697478992,0.7569412835685025,0.8110217020238966,0.8779986291980809,0.9409892262487757,0.9084032620257653,0.7241830132934602,1663,3843,241,534,classic_models::bertimbau_base__knn,6281,6281,0,test,0.8688106989332909,0.8848909409329725,0.8507103657011188,0.8692593290057596,0.7976154178780924,0.824165634286333,0.706773086205152,0.742878095478787
